id	chrom
chromo001	NC_048565.1
chromo002	NC_048566.1
chromo003	NC_048567.1
chromo004	NC_048568.1
chromo005	NC_048569.1
chromo006	NC_048570.1
chromo007	NC_048571.1
chromo008	NC_048572.1
chromo009	NC_048573.1
chromo010	NC_048574.1
chromo011	NC_048575.1
chromo012	NC_048576.1
chromo013	NC_048577.1
chromo014	NC_048578.1
chromo015	NC_048579.1
chromo016	NC_048580.1
chromo017	NC_048581.1
chromo018	NC_048582.1
chromo019	NC_048583.1
chromo020	NC_048584.1
chromo021	NC_048585.1
chromo022	NC_048586.1
chromo023	NC_048587.1
chromo024	NC_048588.1
chromo025	NC_048589.1
chromo026	NC_048590.1
chromo027	NC_048591.1
chromo028	NC_048592.1
chromo029	NC_050570.1
chromo030	NC_050571.1
chromo031	NC_050572.1
chromo032	NC_048593.1
