id,fastqc_failed,trimmo_pe_failed,sample_id,read,path,sha1
s227,TRUE,TRUE,T200193,fq1,NVS127B_Columbus_T2089_R1/T200193_T2089_5C_S35_L003_R1_001.fastq.gz,91134eebfda536a441c6b679b8e99601913ef28b
s227,TRUE,TRUE,T200193,fq2,NVS127B_Columbus_T2089_R2/T200193_T2089_5C_S35_L003_R2_001.fastq.gz,37aa2a7d305c4b2b40f35917c4be902e96a3897a
s250,TRUE,TRUE,T200216,fq1,NVS127B_Columbus_T2089_R1/T200216_T2089_8B_S58_L003_R1_001.fastq.gz,95aa3140b426c0ec8429e1adccd6c32604b4e95f
s250,TRUE,TRUE,T200216,fq2,NVS127B_Columbus_T2089_R2/T200216_T2089_8B_S58_L003_R2_001.fastq.gz,7d2bd8a47c44d6d1c2c6befc414885187a63e899
s265,TRUE,TRUE,T200231,fq1,NVS127B_Columbus_T2089_R1/T200231_T2089_10A_S73_L003_R1_001.fastq.gz,8b0096ffb8c889b9d74bca9fabb6e4833b7955f1
s265,TRUE,TRUE,T200231,fq2,NVS127B_Columbus_T2089_R2/T200231_T2089_10A_S73_L003_R2_001.fastq.gz,2de788a06ac8bcd717d492562c2476f90379b6a1
s305,TRUE,TRUE,T200271,fq1,NVS127B_Columbus_T2090_R1/T200271_T2090_3A_S17_L004_R1_001.fastq.gz,7db45b4a349e7d194789a184782b88bad4afd007
s305,TRUE,TRUE,T200271,fq2,NVS127B_Columbus_T2090_R2/T200271_T2090_3A_S17_L004_R2_001.fastq.gz,4181948356baf18e9dbcce46cb9877c532b61839
s343,TRUE,TRUE,T200309,fq1,NVS127B_Columbus_T2090_R1/T200309_T2090_7G_S55_L004_R1_001.fastq.gz,d1b65deed4acc8211e80eb7922d290b54dab1218
s343,TRUE,TRUE,T200309,fq2,NVS127B_Columbus_T2090_R2/T200309_T2090_7G_S55_L004_R2_001.fastq.gz,0622ef1f43bfde92c682da9ec37c0283d62b6ce4
s360,TRUE,TRUE,T200326,fq1,NVS127B_Columbus_T2090_R1/T200326_T2090_9H_S72_L004_R1_001.fastq.gz,1272575ff374b602f7285825be715974a0087687
s360,TRUE,TRUE,T200326,fq2,NVS127B_Columbus_T2090_R2/T200326_T2090_9H_S72_L004_R2_001.fastq.gz,8ecf8a51ffe839121461d44def813b9cb2c7ec4d
s221,FALSE,TRUE,T200187,fq1,NVS127B_Columbus_T2089_R1/T200187_T2089_4E_S29_L003_R1_001.fastq.gz,d5e6f310f4149a780917dfe57af006911dfbcbdb
s221,FALSE,TRUE,T200187,fq2,NVS127B_Columbus_T2089_R2/T200187_T2089_4E_S29_L003_R2_001.fastq.gz,79429edd8ff1fc5496800fbca1cca084605951b9
s243,FALSE,TRUE,T200209,fq1,NVS127B_Columbus_T2089_R1/T200209_T2089_7C_S51_L003_R1_001.fastq.gz,a154f003baf9a07c9e7de575e6138669d9b5c551
s243,FALSE,TRUE,T200209,fq2,NVS127B_Columbus_T2089_R2/T200209_T2089_7C_S51_L003_R2_001.fastq.gz,902d464a06cc54fc957fd1cf163aa309f49801f3
s244,FALSE,TRUE,T200210,fq1,NVS127B_Columbus_T2089_R1/T200210_T2089_7D_S52_L003_R1_001.fastq.gz,5005978b63e20e187c1c5cd6f2fb51361cc80a89
s244,FALSE,TRUE,T200210,fq2,NVS127B_Columbus_T2089_R2/T200210_T2089_7D_S52_L003_R2_001.fastq.gz,f67684678d3d054f552e23d92b629427596daa94
